index,acronym1,acronym2,herbName,institutionType,sizeNumber,state
14,AKG,,Angus K. Gholson Herbarium,private,20000,FL
15,ARCH,,Archbold Biological Station,biological field station,6500,FL
16,BUS,,Buswell Herbarium,private,15000,FL
17,DLF,,Stetson,university,10500,FL
18,FLAS,,Florida Museum of Natural History: University of Florida Herbarium,university,470000,FL
19,FNPS,,"South Florida Collections Management Center, Everglades National Park",federal,8600,FL
20,FSU,,Florida State University: R. K. Godfrey Herbarium,university,221000,FL
21,FTG,,Fairchild Tropical Botanic Garden,botanical garden,165000,FL
22,FTU,,University of Central Florida,university,26000,FL
23,TTRS,,Tall Timbers Research Station,biological field station,10500,FL
24,USF,,University of South Florida,university,270000,FL
25,UWFP,,University of West Florida: M. I. Cousens Herbarium,university,23000,FL
26,SEL,,Marie Selby Botanical Gardens,botanical garden,100000,FL
27,AHFH,,"University of Southern California, Allan Hancock Foundation",university,0,CA
28,,,Pepperwood Preserve: Barnhart Herbarium,private,2500,CA
29,AHUC,,"University of California, Davis: Department of Agronomy, Cramptoon Collection",university,55000,CA
30,IFGP,,"Institute of Forest Genetics, Pacific Southwest Research Station, USDA Forest Service: Critchfield Memorial Herbarium",federal,4000,CA
31,GMS,,"Hopkins Marine Station, Stanford University: Gilbert M. Smith Herbarium",biological field station,9000,CA
32,JROH,,"Stanford University, Jasper Ridge Biological Preserve: The Oakmead Herbarium and Collections",biological field station,5400,CA
33,MACF,,"California State University, Fullerton: McFadden Herbarium",university,25000,CA
34,NCC,ROPA,Sonoma State University: North Coast Herbarium of California,university,25000,CA
35,PFRS,,"Pacific Southwest Forest and Range Experiment Station, USDA Forest Service: Forest Disease Herbarium",federal,5100,CA
36,CSPU,,"California State Polytechnic University, Pomona",university,2500,CA
37,OBI,,"California Polytechnic State University, San Luis Obispo: Robert F. Hoover Herbarium",university,75000,CA
38,CHAF,,Chaffey College,university,6000,CA
39,CRMC,,"Mendocino College, Coast Center",university,5000,CA
40,CHSC,,"California State University, Chico",university,95300,CA
41,HSC,,Humboldt State University,university,132000,CA
42,LOB,,"California State University, Long Beach",university,12000,CA
43,CSLA,,"California State University, Los Angeles",university,37000,CA
44,SFV,,"California State University, Northridge",university,23000,CA
45,SACT,,"California State University, Sacramento",university,20000,CA
46,CSUSB,,"California State University, San Bernardino",university,4800,CA
47,SHTC,,"California State University, Stanislaus",university,4000,CA
48,CSUCI,,"California State University, Channel Islands",university,1000,CA
49,DVM,,Diablo Valley College,university,1908,CA
50,FSC,,"California State University, Fresno",university,35000,CA
51,LOMA,,La Sierra University,university,3000,CA
52,VNC,,Los Angeles Valley College,university,5000,CA
53,OMC,,Mills College,university,2500,CA
54,LOC,,Occidental College,university,15000,CA
55,PUA,,Pacific Union College,university,85000,CA
56,PASM,,Palomar College,university,2500,CA
57,SDSU,,San Diego State University,university,21000,CA
58,SFSU,,San Francisco State University: Harry D. Thiers Herbarium,university,140000,CA
59,SJSU,,San Jose State University: Carl W. Sharsmith Herbarium,university,14691,CA
60,SBCC,,Santa Barbara City College,university,2900,CA
61,RESC,,Shasta College,university,10000,CA
62,JEPS,UC,"University of California, Berkeley: Jepson Herbarium",university,2200000,CA
