index,family,taxon,synonyms,origin,status,state
244,ALLIACEAE,Allium vineale,,,introduced,AR
246,POACEAE,Bromus secalinus,,,introduced,AR
250,ASTERACEAE,Cirsium arvense,,,introduced,AR
258,HYPERICACEAE,Hypericum perforatum,,,introduced,AR
259,SAPINDACEAE,Koelreuteria paniculata,,,introduced,AR
262,CAPRIFOLIACEAE,Lonicera morrowii,,,introduced,AR
267,HYDROCHARITACEAE,Najas minor,,,introduced,AR
270,POACEAE,Phalaris canariensis,,,introduced,AR
274,CHENOPODIACEAE,Salsola tragus,,,introduced,AR
278,FABACEAE,Senna obtusifolia,,,introduced,AR
243,OROBANCHACEAE,Agalinis tenuifolia,,,native,AR
248,CYPERACEAE,Carex frankii,,,native,AR
251,CYPERACEAE,Cyperus polystachyos,,,native,AR
254,GERANIACEAE,Geranium carolinianum carolinianum,,,native,AR
255,ASTERACEAE,Helianthus silphioides,,,native,AR
260,FABACEAE,Lespedeza virginica,,,native,AR
264,ERICACEAE,Lyonia mariana,,,native,AR
265,LOGANIACEAE,Mitreola petiolata,,,native,AR
268,CACTACEAE,Opuntia macrorhiza,,,native,AR
271,SANTALACEAE,Phoradendron leucarpum,,,native,AR
242,EUPHORBIACEAE,Acalypha deamii,,,S1,AR
245,FABACEAE,Astragalus nuttallianus nuttallianus,,,S1,AR
249,CYPERACEAE,Carex shinnersii,,,S1,AR
263,FABACEAE,Lupinus texensis,,,S1,AR
269,POACEAE,Paspalum boscianum,,,S1,AR
273,GENTIANACEAE,Sabatia gentianoides,,,S1,AR
275,ROSACEAE,Sanguisorba annua,,,S1,AR
279,RANUNCULACEAE,Thalictrum dioicum,,,S1,AR
280,HYPERICACEAE,Triadenum virginicum,,,S1,AR
281,ADOXACEAE,Viburnum recognitum,,,S1,AR
247,CYPERACEAE,Carex bromoides bromoides,,,S2,AR
252,RANUNCULACEAE,Delphinium carolinianum vimineum,,,S2,AR
253,APIACEAE,Eryngium integrifolium,,,S2,AR
256,ASTERACEAE,Hieracium scabrum,,,S2,AR
257,ASTERACEAE,Hymenopappus artemisiifolius artemisiifolius,,,S2,AR
261,ASTERACEAE,Liatris punctata mucronata,,,S2,AR
266,POACEAE,Muhlenbergia bushii,,,S2,AR
272,APIACEAE,Ptilimnium nodosum,,,S2,AR
276,POACEAE,Schedonnardus paniculatus,,,S2,AR
