uniqueness,state,status,sizeClass,count,frequency
unique_county,AR,introduced,large,55,0.65
unique_county,AR,introduced,small,30,0.35
unique_county,AR,native,large,77,0.51
unique_county,AR,native,small,75,0.49
unique_county,AR,S1,small,6,1
unique_county,AR,S2,large,4,0.19
unique_county,AR,S2,small,17,0.81
unique_county,CA,introduced,large,28,0.76
unique_county,CA,introduced,small,9,0.24
unique_county,CA,native,large,14,0.67
unique_county,CA,native,small,7,0.33
unique_county,CA,S1,large,7,0.64
unique_county,CA,S1,small,4,0.36
unique_county,CA,S2,large,8,0.47
unique_county,CA,S2,small,9,0.53
unique_county,CO,introduced,large,34,0.68
unique_county,CO,introduced,small,16,0.32
unique_county,CO,native,large,47,0.76
unique_county,CO,native,small,15,0.24
unique_county,CO,S1,large,1,0.5
unique_county,CO,S1,small,1,0.5
unique_county,CO,S2,large,4,0.4
unique_county,CO,S2,small,6,0.6
unique_county,FL,introduced,large,57,0.93
unique_county,FL,introduced,small,4,0.07
unique_county,FL,native,large,47,0.9
unique_county,FL,native,small,5,0.1
unique_county,FL,S1,large,11,0.92
unique_county,FL,S1,small,1,0.08
unique_county,FL,S2,large,17,0.74
unique_county,FL,S2,small,6,0.26
unique_county,GA,introduced,large,145,0.58
unique_county,GA,introduced,small,105,0.42
unique_county,GA,native,large,110,0.69
unique_county,GA,native,small,50,0.31
unique_county,GA,S1,large,6,0.67
unique_county,GA,S1,small,3,0.33
unique_county,GA,S2,large,19,0.56
unique_county,GA,S2,small,15,0.44
unique_county,MI,introduced,large,87,0.72
unique_county,MI,introduced,small,33,0.28
unique_county,MI,native,large,107,0.76
unique_county,MI,native,small,33,0.24
unique_county,MI,S1,large,11,0.92
unique_county,MI,S1,small,1,0.08
unique_county,MI,S2,large,33,0.77
unique_county,MI,S2,small,10,0.23
unique_county,TN,introduced,large,130,0.73
unique_county,TN,introduced,small,47,0.27
unique_county,TN,native,large,160,0.83
unique_county,TN,native,small,33,0.17
unique_county,TN,S1,large,8,1
unique_county,TN,S2,large,18,0.78
unique_county,TN,S2,small,5,0.22
unique_county,WV,introduced,large,176,0.99
unique_county,WV,introduced,small,2,0.01
unique_county,WV,native,large,67,0.97
unique_county,WV,native,small,2,0.03
unique_county,WV,S1,large,18,0.95
unique_county,WV,S1,small,1,0.05
unique_county,WV,S2,large,38,0.88
unique_county,WV,S2,small,5,0.12
unique_locality,AR,introduced,large,13,0.48
unique_locality,AR,introduced,small,14,0.52
unique_locality,AR,native,large,126,0.55
unique_locality,AR,native,small,103,0.45
unique_locality,AR,S1,small,1,1
unique_locality,AR,S2,large,2,0.13
unique_locality,AR,S2,small,13,0.87
unique_locality,CA,introduced,large,355,0.76
unique_locality,CA,introduced,small,113,0.24
unique_locality,CA,native,large,499,0.86
unique_locality,CA,native,small,84,0.14
