uniqueness,name,formula,residualDF,residualDeviance,AIC,dAIC,weight
county,m1,unique_county ~ sizeClass + (1 | state),15788,10966.312704643913,11022,59,0
county,m2,unique_county ~ status + (1 | state),15786,11021.597622377367,11081,117.5,0
county,mGLOBAL,unique_county ~ sizeClass + status + (1 | state),15785,10901.339904643259,10963,0,1
county,mNULL,unique_county ~ 1 + (1 | state),15789,11070.00088731832,11123,160.1,0
locality,m1,unique_locality ~ sizeClass + (1 | state),15788,17377.19783592758,17422,86.9,0
locality,m2,unique_locality ~ status + (1 | state),15786,17319.379160311775,17369,33,0
locality,mGLOBAL,unique_locality ~ sizeClass + status + (1 | state),15785,17284.4843656414,17336,0,1
locality,mNULL,unique_locality ~ 1 + (1 | state),15789,17416.057010586617,17459,123.7,0
time,m1,unique_time ~ sizeClass + (1 | state),15788,20410.637887823104,20460,53,0
time,m2,unique_time ~ status + (1 | state),15786,20513.753947643007,20566,158.8,0
time,mGLOBAL,unique_time ~ sizeClass + status + (1 | state),15785,20351.878991599362,20407,0,1
time,mNULL,unique_time ~ 1 + (1 | state),15789,20569.786874433266,20616,209,0
